Session,Mode,Iteration,Status,Energy_J,Comprehension,Phi_E,Ci,CPJ,Rg,Pattern,Error
GOF-007,LLM_ONLY,1,WARMUP,10852.911489,15.0,0.00138212,0.0,0.0,0.0,Memento+Observer,
GOF-007,LLM_ONLY,2,ACCEPTED,10057.976557,14.0,0.00139193,0.0,0.0,0.0,Memento+Observer,
GOF-007,LLM_ONLY,3,ACCEPTED,10998.007035,21.0,0.00190944,0.0,0.0,0.0,Memento+Observer,
GOF-007,LLM_ONLY,4,ACCEPTED,10570.718856,15.0,0.00141901,0.0,0.0,0.0,Memento+Observer,
GOF-007,LLM_ONLY,5,ACCEPTED,10244.961114,17.0,0.00165935,0.0,0.0,0.0,Memento+Observer,
GOF-007,LLM_AI,1,WARMUP,11914.189727,11.0,0.00092327,10.512284,0.00088233,0.955662,Observer+Memento,
GOF-007,LLM_AI,2,ACCEPTED,11997.015628,13.0,0.0010836,10.310054,0.00085938,0.793081,Observer+Memento,
GOF-007,LLM_AI,3,ACCEPTED,12114.152469,11.0,0.00090803,8.206456,0.00067743,0.746041,Observer+Memento,
GOF-007,LLM_AI,4,ACCEPTED,11215.369985,7.0,0.00062414,5.125908,0.00045704,0.732273,Memento+Observer,
GOF-007,LLM_AI,5,ACCEPTED,12056.209283,11.0,0.00091239,7.890385,0.00065447,0.717308,Memento+Observer,
